Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
Office Supplies,New York City,United States,Christine Phan,0.00%,1,17-03-2014,US-2014-148838,10024,Xerox 1926,16,7,East,35,Corporate,21-03-2014,Standard Class,New York,Paper
Office Supplies,New York City,United States,Christine Phan,0.00%,1,17-03-2014,US-2014-148838,10024,Xerox 1918,76,4,East,155,Corporate,21-03-2014,Standard Class,New York,Paper
Office Supplies,Columbus,United States,Roy Französisch,70.00%,1,16-04-2017,CA-2017-136497,43229,SpineVue Locking Slant-D Ring Binders by Cardinal,-10,5,East,14,Consumer,20-04-2017,Standard Class,Ohio,Binders
Furniture,Waynesboro,United States,Adam Bellavance,0.00%,1,13-03-2016,US-2016-108637,22980,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",41,2,South,128,Home Office,18-03-2016,Standard Class,Virginia,Furnishings
Office Supplies,Waynesboro,United States,Adam Bellavance,0.00%,1,13-03-2016,US-2016-108637,22980,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",45,2,South,160,Home Office,18-03-2016,Standard Class,Virginia,Appliances
Office Supplies,Waynesboro,United States,Adam Bellavance,0.00%,1,13-03-2016,US-2016-108637,22980,Ibico Covers for Plastic or Wire Binding Elements,21,4,South,46,Home Office,18-03-2016,Standard Class,Virginia,Binders
Furniture,Sacramento,United States,Erica Hackney,20.00%,1,24-11-2014,CA-2014-102295,95823,"Global Leather & Oak Executive Chair, Burgundy",-18,1,West,121,Consumer,26-11-2014,Second Class,California,Chairs
Office Supplies,Clinton,United States,Michael Nguyen,0.00%,1,10-02-2017,CA-2017-123659,20735,HP Office Recycled Paper (20Lb. and 87 Bright),11,4,East,23,Consumer,13-02-2017,First Class,Maryland,Paper
Furniture,Fairfield,United States,Kelly Lampkin,20.00%,1,23-09-2016,US-2016-129469,45014,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",-27,6,East,533,Corporate,27-09-2016,Standard Class,Ohio,Furnishings
Office Supplies,Fairfield,United States,Kelly Lampkin,20.00%,1,23-09-2016,US-2016-129469,45014,"Dixon Ticonderoga Maple Cedar Pencil, #2",0,2,East,5,Corporate,27-09-2016,Standard Class,Ohio,Art
Technology,Warwick,United States,Michael Paige,0.00%,1,07-07-2017,CA-2017-155152,2886,Hypercom P1300 Pinpad,93,4,East,252,Corporate,09-07-2017,Second Class,Rhode Island,Accessories
Furniture,Aurora,United States,Barry Französisch,60.00%,1,07-07-2016,CA-2016-159940,60505,Flat Face Poster Frame,-27,8,Central,60,Corporate,11-07-2016,Second Class,Illinois,Furnishings
Office Supplies,Aurora,United States,Barry Französisch,20.00%,1,07-07-2016,CA-2016-159940,60505,Acco Hot Clips Clips to Go,1,1,Central,3,Corporate,11-07-2016,Second Class,Illinois,Fasteners
Office Supplies,Aurora,United States,Barry Französisch,20.00%,1,07-07-2016,CA-2016-159940,60505,Tops Wirebound Message Log Books,8,9,Central,24,Corporate,11-07-2016,Second Class,Illinois,Paper
Furniture,Aurora,United States,Barry Französisch,30.00%,1,07-07-2016,CA-2016-159940,60505,Global Ergonomic Managers Chair,-14,2,Central,253,Corporate,11-07-2016,Second Class,Illinois,Chairs
Office Supplies,Smyrna,United States,Theone Pippenger,0.00%,1,24-01-2017,CA-2017-119669,30080,Revere Boxed Rubber Bands by Revere,0,3,South,6,Consumer,30-01-2017,Standard Class,Georgia,Fasteners
Office Supplies,Columbus,United States,Maxwell Schwartz,70.00%,1,19-08-2014,US-2014-164616,43229,GBC DocuBind P50 Personal Binding Machine,-59,4,East,77,Consumer,21-08-2014,Second Class,Ohio,Binders
Office Supplies,Columbus,United States,Maxwell Schwartz,20.00%,1,19-08-2014,US-2014-164616,43229,Acme Kleencut Forged Steel Scissors,1,2,East,9,Consumer,21-08-2014,Second Class,Ohio,Supplies
Office Supplies,Thousand Oaks,United States,Katherine Murray,0.00%,1,06-12-2015,CA-2015-148628,91360,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",15,5,West,33,Home Office,11-12-2015,Standard Class,California,Paper
Office Supplies,Lorain,United States,Brad Eason,20.00%,1,06-05-2016,CA-2016-118052,44052,Advantus T-Pin Paper Clips,2,2,East,7,Home Office,10-05-2016,Standard Class,Ohio,Fasteners
Office Supplies,Lorain,United States,Brad Eason,20.00%,1,06-05-2016,CA-2016-118052,44052,Xerox 1951,15,2,East,50,Home Office,10-05-2016,Standard Class,Ohio,Paper
Furniture,Lorain,United States,Brad Eason,20.00%,1,06-05-2016,CA-2016-118052,44052,DAX Solid Wood Frames,12,7,East,55,Home Office,10-05-2016,Standard Class,Ohio,Furnishings
Office Supplies,Fresno,United States,Christina VanderZanden,0.00%,1,25-03-2017,US-2017-117534,93727,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,46,4,West,176,Consumer,26-03-2017,First Class,California,Appliances
Office Supplies,Fresno,United States,Christina VanderZanden,0.00%,1,25-03-2017,US-2017-117534,93727,Staples in misc. colors,4,9,West,16,Consumer,26-03-2017,First Class,California,Art
Office Supplies,Fresno,United States,Christina VanderZanden,20.00%,1,25-03-2017,US-2017-117534,93727,Avery Arch Ring Binders,63,4,West,186,Consumer,26-03-2017,First Class,California,Binders
Technology,Fresno,United States,Christina VanderZanden,20.00%,1,25-03-2017,US-2017-117534,93727,Clearsounds A400,16,4,West,211,Consumer,26-03-2017,First Class,California,Phones
Technology,Fresno,United States,Christina VanderZanden,20.00%,1,25-03-2017,US-2017-117534,93727,Hewlett Packard 310 Color Digital Copier,60,2,West,480,Consumer,26-03-2017,First Class,California,Copiers
Office Supplies,San Diego,United States,Dennis Kane,0.00%,1,12-12-2015,CA-2015-145065,92105,Staples,4,2,West,8,Consumer,15-12-2015,First Class,California,Fasteners
Office Supplies,San Diego,United States,Dennis Kane,20.00%,1,12-12-2015,CA-2015-145065,92105,Recycled Premium Regency Composition Covers,9,2,West,24,Consumer,15-12-2015,First Class,California,Binders
Office Supplies,New York City,United States,Speros Goranitis,0.00%,1,06-12-2015,US-2015-127040,10009,Xerox 219,3,1,East,6,Consumer,10-12-2015,Standard Class,New York,Paper
Office Supplies,New York City,United States,Speros Goranitis,0.00%,1,06-12-2015,US-2015-127040,10009,Xerox 1903,21,7,East,42,Consumer,10-12-2015,Standard Class,New York,Paper
Technology,New York City,United States,Speros Goranitis,0.00%,1,06-12-2015,US-2015-127040,10009,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),97,9,East,"1,620",Consumer,10-12-2015,Standard Class,New York,Accessories
Furniture,New York City,United States,Speros Goranitis,0.00%,1,06-12-2015,US-2015-127040,10009,"Seth Thomas 14"" Day/Date Wall Clock",42,4,East,114,Consumer,10-12-2015,Standard Class,New York,Furnishings
Office Supplies,Malden,United States,Christine Sundaresam,0.00%,1,17-03-2016,CA-2016-128111,2148,Newell 345,10,2,East,40,Consumer,23-03-2016,Standard Class,Massachusetts,Art
Technology,New York City,United States,Patrick Jones,0.00%,1,14-11-2015,CA-2015-137897,10035,Imation Clip USB flash drive - 8 GB,2,2,East,38,Corporate,19-11-2015,Standard Class,New York,Accessories
Technology,New York City,United States,Patrick Jones,0.00%,1,14-11-2015,CA-2015-137897,10035,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,24,2,East,60,Corporate,19-11-2015,Standard Class,New York,Accessories
Office Supplies,New York City,United States,Patrick Jones,0.00%,1,14-11-2015,CA-2015-137897,10035,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",17,5,East,37,Corporate,19-11-2015,Standard Class,New York,Paper
Office Supplies,San Francisco,United States,Nora Preis,0.00%,1,14-08-2017,CA-2017-169264,94109,Avery File Folder Labels,3,2,West,6,Consumer,16-08-2017,Second Class,California,Labels
Office Supplies,San Francisco,United States,Nora Preis,0.00%,1,14-08-2017,CA-2017-169264,94109,Newell 318,4,6,West,17,Consumer,16-08-2017,Second Class,California,Art
Office Supplies,Florence,United States,Sean Braxton,0.00%,1,09-09-2017,CA-2017-147361,29501,Fellowes Officeware Wire Shelving,13,7,South,629,Corporate,15-09-2017,Standard Class,South Carolina,Storage
Office Supplies,Florence,United States,Sean Braxton,0.00%,1,09-09-2017,CA-2017-147361,29501,X-Rack File for Hanging Folders,15,5,South,56,Corporate,15-09-2017,Standard Class,South Carolina,Storage
Office Supplies,Springfield,United States,Adam Shillingsburg,0.00%,1,01-04-2017,CA-2017-145877,65807,Hanging Personal Folder File,24,6,Central,94,Consumer,04-04-2017,Second Class,Missouri,Storage
Office Supplies,Springfield,United States,Adam Shillingsburg,0.00%,1,01-04-2017,CA-2017-145877,65807,Staple envelope,13,5,Central,28,Consumer,04-04-2017,Second Class,Missouri,Envelopes
Furniture,Huntsville,United States,Harry Marie,32.00%,1,27-09-2016,US-2016-110170,77340,O'Sullivan Plantations 2-Door Library in Landvery Oak,-225,7,Central,957,Corporate,03-10-2016,Standard Class,Texas,Bookcases
Technology,Los Angeles,United States,Mike Gockenbach,0.00%,1,07-10-2017,CA-2017-108574,90045,Logitech G19 Programmable Gaming Keyboard,201,9,West,"1,116",Consumer,11-10-2017,Standard Class,California,Accessories
Technology,Los Angeles,United States,Mike Gockenbach,20.00%,1,07-10-2017,CA-2017-108574,90045,Motorola HK250 Universal Bluetooth Headset,-29,7,West,129,Consumer,11-10-2017,Standard Class,California,Phones
Technology,Los Angeles,United States,Mike Gockenbach,20.00%,1,07-10-2017,CA-2017-108574,90045,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",27,10,West,80,Consumer,11-10-2017,Standard Class,California,Phones
Office Supplies,San Francisco,United States,Tamara Manning,0.00%,1,20-01-2017,CA-2017-144589,94122,Staples in misc. colors,8,5,West,24,Consumer,25-01-2017,Standard Class,California,Art
Technology,San Francisco,United States,Tamara Manning,20.00%,1,20-01-2017,CA-2017-144589,94122,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,130,3,West,360,Consumer,25-01-2017,Standard Class,California,Phones
Furniture,San Francisco,United States,Bill Eplett,0.00%,1,23-03-2017,CA-2017-155985,94122,DAX Natural Wood-Tone Poster Frame,76,8,West,212,Home Office,25-03-2017,First Class,California,Furnishings
Office Supplies,Philadelphia,United States,Ann Steele,20.00%,1,01-08-2014,CA-2014-162684,19120,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",2,2,East,6,Home Office,06-08-2014,Standard Class,Pennsylvania,Fasteners
Office Supplies,Los Angeles,United States,Eleni McCrary,20.00%,1,07-06-2015,CA-2015-142041,90036,3-ring staple pack,3,5,West,8,Corporate,09-06-2015,Second Class,California,Binders
Office Supplies,Los Angeles,United States,Joseph Airdo,0.00%,1,12-11-2014,CA-2014-151295,90045,Xerox 1974,6,2,West,12,Consumer,16-11-2014,Standard Class,California,Paper
Furniture,Los Angeles,United States,Joseph Airdo,20.00%,1,12-11-2014,CA-2014-151295,90045,Bevis Boat-Shaped Conference Table,31,3,West,629,Consumer,16-11-2014,Standard Class,California,Tables
Furniture,Milwaukee,United States,Troy Blackwell,0.00%,1,29-12-2016,CA-2016-156300,53209,"Global Leather & Oak Executive Chair, Burgundy",60,5,Central,754,Consumer,02-01-2017,Standard Class,Wisconsin,Chairs
Furniture,Holyoke,United States,Paul Prost,0.00%,1,06-07-2015,CA-2015-146087,1040,Bush Mission Pointe Library,60,2,East,302,Home Office,11-07-2015,Standard Class,Massachusetts,Bookcases
Technology,Albuquerque,United States,Michelle Lonsdale,0.00%,1,12-10-2017,CA-2017-168655,87105,WD My Passport Ultra 2TB Portable External Hard Drive,95,5,West,595,Corporate,18-10-2017,Standard Class,New Mexico,Accessories
Office Supplies,Albuquerque,United States,Michelle Lonsdale,20.00%,1,12-10-2017,CA-2017-168655,87105,GBC Twin Loop Wire Binding Elements,30,3,West,80,Corporate,18-10-2017,Standard Class,New Mexico,Binders
Technology,Sparks,United States,Linda Cazamias,20.00%,1,21-05-2016,CA-2016-107202,89431,Panasonic KX MB2061 Multifunction Printer,180,10,West,"2,396",Corporate,28-05-2016,Standard Class,Nevada,Machines
Office Supplies,Coachella,United States,Matt Collister,0.00%,1,09-11-2017,CA-2017-159597,92236,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",3,2,West,64,Corporate,14-11-2017,Standard Class,California,Storage
Technology,Coachella,United States,Matt Collister,0.00%,1,09-11-2017,CA-2017-159597,92236,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,44,1,West,100,Corporate,14-11-2017,Standard Class,California,Accessories
Office Supplies,Elmhurst,United States,Clay Rozendal,20.00%,1,18-04-2016,CA-2016-155551,60126,Safco Industrial Wire Shelving,-49,3,Central,230,Home Office,23-04-2016,Standard Class,Illinois,Storage
Office Supplies,Elmhurst,United States,Clay Rozendal,20.00%,1,18-04-2016,CA-2016-155551,60126,"Adams Telephone Message Books, 5 1/4” x 11”",3,2,Central,10,Home Office,23-04-2016,Standard Class,Illinois,Paper
Technology,Fairfield,United States,Susan Vittorini,20.00%,1,25-12-2017,US-2017-147669,45014,Maxell 4.7GB DVD-R,42,7,East,159,Consumer,30-12-2017,Standard Class,Ohio,Accessories
Office Supplies,Fairfield,United States,Susan Vittorini,70.00%,1,25-12-2017,US-2017-147669,45014,Satellite Sectional Post Binders,-10,1,East,13,Consumer,30-12-2017,Standard Class,Ohio,Binders
Furniture,Fairfield,United States,Susan Vittorini,40.00%,1,25-12-2017,US-2017-147669,45014,Hon Rectangular Conference Tables,-105,2,East,273,Consumer,30-12-2017,Standard Class,Ohio,Tables
Office Supplies,Fairfield,United States,Susan Vittorini,20.00%,1,25-12-2017,US-2017-147669,45014,Staples,13,13,East,39,Consumer,30-12-2017,Standard Class,Ohio,Fasteners
Office Supplies,Arlington,United States,Mary Zewe,80.00%,1,11-06-2016,CA-2016-169922,76017,Computer Printout Index Tabs,-2,4,Central,1,Corporate,17-06-2016,Standard Class,Texas,Binders
Office Supplies,Arlington,United States,Mary Zewe,80.00%,1,11-06-2016,CA-2016-169922,76017,GBC Wire Binding Combs,-14,4,Central,8,Corporate,17-06-2016,Standard Class,Texas,Binders
Furniture,Arlington,United States,Mary Zewe,60.00%,1,11-06-2016,CA-2016-169922,76017,"Stacking Tray, Side-Loading, Legal, Smoke",-9,7,Central,13,Corporate,17-06-2016,Standard Class,Texas,Furnishings
Office Supplies,San Francisco,United States,Ross Baird,0.00%,1,13-05-2017,CA-2017-100748,94110,Self-Adhesive Address Labels for Typewriters by Universal,27,8,West,58,Home Office,20-05-2017,Standard Class,California,Labels
Furniture,Seattle,United States,Harry Marie,0.00%,1,28-12-2017,CA-2017-129805,98103,3M Hangers With Command Adhesive,3,2,West,7,Corporate,02-01-2018,Standard Class,Washington,Furnishings
Furniture,New York City,United States,Annie Zypern,10.00%,1,25-03-2014,CA-2014-148586,10009,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",65,7,East,367,Consumer,01-04-2014,Standard Class,New York,Chairs
Technology,Houston,United States,Jonathan Howell,20.00%,1,28-05-2017,US-2017-112613,77070,Spigen Samsung Galaxy S5 Case Wallet,4,4,Central,54,Consumer,01-06-2017,Standard Class,Texas,Phones
Office Supplies,Springfield,United States,Patrick Jones,0.00%,1,14-11-2015,CA-2015-154746,22153,Brown Kraft Recycled Envelopes,17,2,South,34,Corporate,17-11-2015,First Class,Virginia,Envelopes
Office Supplies,Springfield,United States,Patrick Jones,0.00%,1,14-11-2015,CA-2015-154746,22153,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,322,3,South,826,Corporate,17-11-2015,First Class,Virginia,Appliances
Furniture,Farmington,United States,Christina Anderson,0.00%,1,03-07-2017,CA-2017-140053,87401,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",115,9,West,546,Consumer,10-07-2017,Standard Class,New Mexico,Furnishings
Furniture,Louisville,United States,Pierre Wener,50.00%,1,18-11-2014,CA-2014-164210,80027,Bevis Rectangular Conference Tables,-99,2,West,146,Consumer,20-11-2014,Second Class,Colorado,Tables
Office Supplies,Louisville,United States,Pierre Wener,20.00%,1,18-11-2014,CA-2014-164210,80027,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",13,4,West,36,Consumer,20-11-2014,Second Class,Colorado,Paper
Furniture,Tampa,United States,Shaun Weien,20.00%,1,17-07-2017,CA-2017-139948,33614,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",2,2,South,8,Consumer,22-07-2017,Standard Class,Florida,Furnishings
Technology,Passaic,United States,Art Ferguson,0.00%,1,22-05-2016,CA-2016-146934,7055,AT&T 841000 Phone,86,5,East,345,Consumer,27-05-2016,Standard Class,New Jersey,Phones
Furniture,Passaic,United States,Art Ferguson,30.00%,1,22-05-2016,CA-2016-146934,7055,Bevis 36 x 72 Conference Tables,-20,2,East,174,Consumer,27-05-2016,Standard Class,New Jersey,Tables
Office Supplies,Passaic,United States,Art Ferguson,0.00%,1,22-05-2016,CA-2016-146934,7055,Eureka Sanitaire  Commercial Upright,172,4,East,663,Consumer,27-05-2016,Standard Class,New Jersey,Appliances
Technology,Passaic,United States,Art Ferguson,0.00%,1,22-05-2016,CA-2016-146934,7055,SanDisk Cruzer 32 GB USB Flash Drive,30,5,East,95,Consumer,27-05-2016,Standard Class,New Jersey,Accessories
Office Supplies,Passaic,United States,Art Ferguson,0.00%,1,22-05-2016,CA-2016-146934,7055,Ampad #10 Peel & Seel Holiday Envelopes,13,6,East,27,Consumer,27-05-2016,Standard Class,New Jersey,Envelopes
Technology,Passaic,United States,Art Ferguson,0.00%,1,22-05-2016,CA-2016-146934,7055,Digium D40 VoIP phone,75,2,East,258,Consumer,27-05-2016,Standard Class,New Jersey,Phones
Office Supplies,Los Angeles,United States,Anne McFarland,0.00%,1,25-09-2015,CA-2015-100573,90004,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",8,2,West,17,Consumer,01-10-2015,Standard Class,California,Envelopes
Furniture,Philadelphia,United States,Bill Donatelli,30.00%,1,31-10-2016,CA-2016-119165,19143,Hon Olson Stacker Stools,-14,5,East,493,Consumer,06-11-2016,Standard Class,Pennsylvania,Chairs
Office Supplies,North Charleston,United States,Christopher Martinez,0.00%,1,14-09-2015,CA-2015-128027,29406,Fellowes Officeware Wire Shelving,5,3,South,269,Consumer,17-09-2015,Second Class,South Carolina,Storage
Office Supplies,San Jose,United States,Christopher Schild,20.00%,1,05-11-2016,CA-2016-140207,95123,Cardinal Holdit Data Disk Pockets,10,5,West,29,Home Office,10-11-2016,Standard Class,California,Binders
Office Supplies,New York City,United States,Denny Blanton,0.00%,1,17-03-2017,CA-2017-140949,10011,Avery 496,9,5,East,19,Consumer,22-03-2017,Second Class,New York,Labels
Technology,New York City,United States,Denny Blanton,0.00%,1,17-03-2017,CA-2017-140949,10011,Cisco SPA525G2 IP Phone - Wireless,31,6,East,120,Consumer,22-03-2017,Second Class,New York,Phones
Office Supplies,New York City,United States,Denny Blanton,20.00%,1,17-03-2017,CA-2017-140949,10011,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",3,3,East,9,Consumer,22-03-2017,Second Class,New York,Binders
Technology,New York City,United States,Denny Blanton,0.00%,1,17-03-2017,CA-2017-140949,10011,SanDisk Cruzer 32 GB USB Flash Drive,18,3,East,57,Consumer,22-03-2017,Second Class,New York,Accessories
Technology,New York City,United States,Denny Blanton,0.00%,1,17-03-2017,CA-2017-140949,10011,Kingston Digital DataTraveler 16GB USB 2.0,14,8,East,72,Consumer,22-03-2017,Second Class,New York,Accessories
Office Supplies,New York City,United States,Denny Blanton,0.00%,1,17-03-2017,CA-2017-140949,10011,"Neat Ideas Personal Hanging Folder Files, Black",28,8,East,107,Consumer,22-03-2017,Second Class,New York,Storage
Office Supplies,New York City,United States,Denny Blanton,0.00%,1,17-03-2017,CA-2017-140949,10011,Avery 486,3,1,East,7,Consumer,22-03-2017,Second Class,New York,Labels
Office Supplies,New York City,United States,Denny Blanton,0.00%,1,17-03-2017,CA-2017-140949,10011,Lumber Crayons,22,6,East,59,Consumer,22-03-2017,Second Class,New York,Art
Office Supplies,New York City,United States,Denny Blanton,0.00%,1,17-03-2017,CA-2017-140949,10011,"Tenex File Box, Personal Filing Tote with Lid, Black",12,3,East,47,Consumer,22-03-2017,Second Class,New York,Storage
Office Supplies,Plainfield,United States,James Galang,0.00%,1,15-08-2017,CA-2017-138548,7060,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",25,2,East,98,Consumer,21-08-2017,Standard Class,New Jersey,Appliances
Office Supplies,Seattle,United States,Shahid Collister,0.00%,1,11-07-2015,CA-2015-142419,98115,Xerox 1896,13,3,West,30,Consumer,13-07-2015,Second Class,Washington,Paper
Office Supplies,Seattle,United States,Shahid Collister,20.00%,1,11-07-2015,CA-2015-142419,98115,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",34,3,West,98,Consumer,13-07-2015,Second Class,Washington,Binders
Office Supplies,New York City,United States,Chuck Sachs,20.00%,1,03-12-2017,CA-2017-148691,10009,GBC Premium Transparent Covers with Diagonal Lined Pattern,29,5,East,84,Consumer,09-12-2017,Standard Class,New York,Binders
Office Supplies,New York City,United States,Chuck Sachs,20.00%,1,03-12-2017,CA-2017-148691,10009,SpineVue Locking Slant-D Ring Binders by Cardinal,5,2,East,15,Consumer,09-12-2017,Standard Class,New York,Binders
Technology,New York City,United States,Chuck Sachs,0.00%,1,03-12-2017,CA-2017-148691,10009,AT&T 1080 Corded phone,37,1,East,137,Consumer,09-12-2017,Standard Class,New York,Phones
Office Supplies,New York City,United States,Chuck Sachs,0.00%,1,03-12-2017,CA-2017-148691,10009,Avery 520,2,1,East,3,Consumer,09-12-2017,Standard Class,New York,Labels
Office Supplies,Newport News,United States,Mike Kennedy,0.00%,1,04-05-2017,CA-2017-128755,23602,"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",4,1,South,9,Consumer,08-05-2017,Standard Class,Virginia,Paper
Office Supplies,Newport News,United States,Mike Kennedy,0.00%,1,04-05-2017,CA-2017-128755,23602,Letter Size Cart,166,4,South,571,Consumer,08-05-2017,Standard Class,Virginia,Storage
Office Supplies,Newport News,United States,Mike Kennedy,0.00%,1,04-05-2017,CA-2017-128755,23602,Xerox 23,16,5,South,32,Consumer,08-05-2017,Standard Class,Virginia,Paper
Office Supplies,Newport News,United States,Mike Kennedy,0.00%,1,04-05-2017,CA-2017-128755,23602,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",5,1,South,17,Consumer,08-05-2017,Standard Class,Virginia,Storage
Furniture,Fayetteville,United States,Carlos Meador,20.00%,1,22-01-2016,US-2016-135923,28314,Eldon Pizzaz Desk Accessories,4,8,South,14,Consumer,28-01-2016,Standard Class,North Carolina,Furnishings
Furniture,Fayetteville,United States,Carlos Meador,20.00%,1,22-01-2016,US-2016-135923,28314,"Sauder Forest Hills Library, Woodland Oak Finish",-68,4,South,451,Consumer,28-01-2016,Standard Class,North Carolina,Bookcases
Office Supplies,Fayetteville,United States,Carlos Meador,20.00%,1,22-01-2016,US-2016-135923,28314,Fellowes Mighty 8 Compact Surge Protector,6,4,South,65,Consumer,28-01-2016,Standard Class,North Carolina,Appliances
Furniture,Los Angeles,United States,Phillip Flathmann,20.00%,1,03-11-2016,CA-2016-114972,90032,Global Deluxe High-Back Office Chair in Storm,-30,2,West,218,Consumer,06-11-2016,First Class,California,Chairs
Technology,Los Angeles,United States,Phillip Flathmann,0.00%,1,03-11-2016,CA-2016-114972,90032,Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,29,5,West,83,Consumer,06-11-2016,First Class,California,Accessories
Office Supplies,Los Angeles,United States,Phillip Flathmann,0.00%,1,03-11-2016,CA-2016-114972,90032,Avery 50,41,7,West,88,Consumer,06-11-2016,First Class,California,Labels
Office Supplies,Los Angeles,United States,Phillip Flathmann,0.00%,1,03-11-2016,CA-2016-114972,90032,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,430,4,West,"1,101",Consumer,06-11-2016,First Class,California,Appliances
Furniture,Los Angeles,United States,Greg Maxwell,20.00%,1,04-09-2017,CA-2017-102750,90036,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,-99,3,West,"1,322",Corporate,08-09-2017,Second Class,California,Tables
Office Supplies,New York City,United States,Dan Campbell,0.00%,1,13-09-2014,CA-2014-145212,10011,Newell 322,1,3,East,5,Consumer,19-09-2014,Standard Class,New York,Art
Office Supplies,Dallas,United States,Frank Olsen,20.00%,1,19-06-2017,CA-2017-141992,75220,Fiskars Spring-Action Scissors,1,1,Central,11,Consumer,25-06-2017,Standard Class,Texas,Supplies
Office Supplies,Dallas,United States,Frank Olsen,20.00%,1,19-06-2017,CA-2017-141992,75220,Safco Industrial Wire Shelving,-33,2,Central,154,Consumer,25-06-2017,Standard Class,Texas,Storage
Office Supplies,Seattle,United States,Alan Hwang,0.00%,1,24-12-2017,CA-2017-147956,98105,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,0,6,West,"1,004",Consumer,31-12-2017,Standard Class,Washington,Storage
Technology,Seattle,United States,Kristina Nunn,20.00%,1,28-08-2017,CA-2017-126067,98105,Anker 24W Portable Micro USB Car Charger,11,4,West,35,Home Office,03-09-2017,Standard Class,Washington,Phones
Furniture,Seattle,United States,Kristina Nunn,0.00%,1,28-08-2017,CA-2017-126067,98105,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",250,5,West,"1,138",Home Office,03-09-2017,Standard Class,Washington,Tables
Office Supplies,Seattle,United States,Kristina Nunn,20.00%,1,28-08-2017,CA-2017-126067,98105,GBC Standard Therm-A-Bind Covers,32,5,West,100,Home Office,03-09-2017,Standard Class,Washington,Binders
Office Supplies,Seattle,United States,Kristina Nunn,0.00%,1,28-08-2017,CA-2017-126067,98105,Newell 344,1,2,West,6,Home Office,03-09-2017,Standard Class,Washington,Art
Office Supplies,Newark,United States,Claudia Bergmann,0.00%,1,02-01-2015,CA-2015-104514,19711,"SAFCO Mobile Desk Side File, Wire Frame",22,2,East,86,Corporate,04-01-2015,Second Class,Delaware,Storage
Office Supplies,Newark,United States,Claudia Bergmann,0.00%,1,02-01-2015,CA-2015-104514,19711,Newell 313,3,3,East,10,Corporate,04-01-2015,Second Class,Delaware,Art
Office Supplies,Newark,United States,Claudia Bergmann,0.00%,1,02-01-2015,CA-2015-104514,19711,Xerox 1959,10,3,East,20,Corporate,04-01-2015,Second Class,Delaware,Paper
Technology,New York City,United States,Tim Brockman,0.00%,1,09-10-2015,CA-2015-141040,10024,Jawbone JAMBOX Wireless Bluetooth Speaker,303,4,East,632,Consumer,13-10-2015,Second Class,New York,Phones
Office Supplies,New York City,United States,Tim Brockman,0.00%,1,09-10-2015,CA-2015-141040,10024,Xerox 1895,11,4,East,24,Consumer,13-10-2015,Second Class,New York,Paper
Office Supplies,Los Angeles,United States,Katherine Ducich,0.00%,1,13-12-2014,CA-2014-113579,90049,White GlueTop Scratch Pads,42,6,West,90,Consumer,15-12-2014,Second Class,California,Paper
Technology,Jamestown,United States,John Murray,0.00%,1,19-11-2014,CA-2014-144624,14701,Apple iPhone 5,"1,228",7,East,"4,549",Consumer,23-11-2014,Standard Class,New York,Phones
Furniture,Houston,United States,Kean Thornton,30.00%,1,10-09-2016,CA-2016-146206,77095,KI Adjustable-Height Table,-34,5,Central,301,Consumer,14-09-2016,Second Class,Texas,Tables
